A
B
C
E
F
G
H
I
J
A,B
A,C
A,E
A,F
A,G
A,H
A,I
A,J
B,C
B,E
B,F
B,G
B,H
B,I
B,J
C,E
C,F
C,G
C,H
C,I
C,J
E,F
E,G
E,H
E,I
E,J
F,G
F,H
F,I
F,J
G,H
G,I
G,J
H,I
H,J
I,J
C,E,F,G,I
C,E,F,G,J
C,E,F,H,I
C,E,F,H,J
C,E,F,I,J
C,E,G,H,I
C,E,G,H,J
C,E,G,I,J
C,E,H,I,J
C,F,G,H,I
C,F,G,H,J
C,F,G,I,J
C,F,H,I,J
C,G,H,I,J
E,F,G,H,I
E,F,G,H,J
E,F,G,I,J
E,F,H,I,J
E,G,H,I,J
F,G,H,I,J
